Long_Name,Population,Primary_Category,Address,Zip,School_Latitude,School_Longitude,Attainment_Reading_Pct_ES,Attainment_Math_Pct_ES,School_Survey_Safety,Suspensions_Per_100_Students_Pct,Misconducts_To_Suspensions_Pct,Student_Attendance_Pct,Teacher_Attendance_Pct,Graduation_School_Pct,College_Enrollment_School_Pct,Chronic_Truancy_Pct,SAT_Grade_11_Score_School_Avg
Jordan Elementary Community School,474,ES,7414 N WOLCOTT AVE,60626,42.017088,-87.677763,57,52,WEAK,3.9,15.4,95.4,94.3,,,29.2,
Joyce Kilmer Elementary School,776,ES,6700 N GREENVIEW AVE,60626,42.00364,-87.668222,67,52,STRONG,0.1,7.1,94.6,94.6,,,25.2,
Eugene Field Elementary School,157,ES,7019 N ASHLAND AVE,60626,42.009664,-87.669985,37,22,VERY WEAK,1,40,95.1,95,,,20.9,
Eliza Chappell Elementary School,552,ES,2135 W FOSTER AVE,60625,41.975894,-87.683264,84,81,NEUTRAL,8.6,19.7,94.8,96.6,,,4.1,
William G Hibbard Elementary School,960,ES,3244 W AINSLIE ST,60625,41.970335,-87.710362,51,62,VERY WEAK,0.4,44.4,96,95.2,,,13.4,
Albany Park Multicultural Academy,282,MS,4929 N SAWYER AVE,60625,41.971504,-87.710609,81,82,NEUTRAL,1.8,8.5,96.7,94.4,,,8,
Helge A Haugan Elementary School,891,ES,4540 N HAMLIN AVE,60625,41.964029,-87.723128,55,45,WEAK,2,11,94.9,93.3,,,18.4,
Alessandro Volta Elementary School,826,ES,4950 N AVERS AVE,60625,41.971634,-87.724605,64,66,NEUTRAL,0.9,8.4,95.9,94,,,2.5,
Lyman A Budlong Elementary School,720,ES,2701 W FOSTER AVE,60625,41.975754,-87.696556,87,85,NEUTRAL,0.3,2,96,95.1,,,14.3,
Roald Amundsen High School,1291,HS,5110 N DAMEN AVE,60625,41.975067,-87.679484,,,NEUTRAL,7.8,17.2,91.3,95.6,80.6,64,44.4,1012
Theodore Roosevelt High School,962,HS,3436 W WILSON AVE,60625,41.964828,-87.714819,39,23,WEAK,13.3,19.2,86.9,94.7,62.6,58.2,58,882
Thomas J Waters Elementary School,641,ES,4540 N CAMPBELL AVE,60625,41.964165,-87.691433,96,90,STRONG,0,0,95,93.8,,,9,
Mary Gage Peterson Elementary School,888,ES,5510 N CHRISTIANA AVE,60625,41.981557,-87.712583,81,76,NEUTRAL,2.9,10.8,95.3,95.6,,,9.6,
Orr Academy High School,225,HS,730 N PULASKI RD,60624,41.894449,-87.726166,,,WEAK,41.1,43.4,62.1,93.5,34.6,48.4,112.1,801
Laura S Ward Elementary School,388,ES,646 N LAWNDALE AVE,60624,41.893236,-87.718797,12,14,VERY WEAK,18.3,38,91.1,93.4,,,38.5,
George W Tilton Elementary School,308,ES,223 N KEELER AVE,60624,41.884102,-87.730566,39,29,WEAK,13.7,24,92.6,95.7,,,28.3,
Helen M Hefferan Elementary School,358,ES,4409 W WILCOX ST,60624,41.878665,-87.735802,96,89,STRONG,2.3,53.3,94.1,95.8,,,40.7,
Genevieve Melody Elementary School,430,ES,3937 W WILCOX ST,60624,41.878799,-87.724661,12,11,WEAK,0.4,22.2,95.4,95.7,,,8.8,
John Milton Gregory Elementary School,341,ES,3715 W POLK ST,60624,41.870742,-87.718666,26,26,NEUTRAL,4,42.4,92,94.6,,,54.7,
Michael Faraday Elementary School,245,ES,3250 W MONROE ST,60624,41.879714,-87.708092,51,48,VERY WEAK,13.9,80.8,93.9,94.5,,,39.1,
Daniel Webster Elementary School,280,ES,4055 W ARTHINGTON ST,60624,41.869916,-87.727524,70,54,NEUTRAL,0,0,94.2,95.9,,,32.6,
John Marshall Metropolitan High School,258,HS,3250 W ADAMS ST,60624,41.878444,-87.70805,,,NEUTRAL,67.7,20.7,79,93.8,50.4,43.5,120.3,804
Charles Sumner  Math & Science Community Acad ES,282,ES,4320 W 5TH AVE,60624,41.870828,-87.733524,48,52,NEUTRAL,1.6,13.3,95.2,96.6,,,28.1,
William Penn Elementary School,280,ES,1616 S AVERS AVE,60623,41.858372,-87.722386,37,23,VERY WEAK,2.2,19.5,94.5,92.8,,,26,
Josefa Ortiz De Dominguez Elementary School,519,ES,3000 S LAWNDALE AVE,60623,41.838791,-87.71719,38,38,NOT ENOUGH DATA,0,0,95.3,94.9,,,14.6,
Lawndale Elementary Community Academy,231,ES,3500 W DOUGLAS BLVD,60623,41.86296,-87.712957,9,5,WEAK,3.8,32.4,94,93.3,,,44.3,
Dvorak Technology Academy,393,ES,3615 W 16TH ST,60623,41.858883,-87.715744,24,31,WEAK,11.5,13.3,95.2,97,,,31.6,
Lazaro Cardenas Elementary School,1156,ES,2345 S MILLARD AVE,60623,41.848488,-87.716017,69,83,NOT ENOUGH DATA,0.2,2.7,95.7,96.9,,,11.5,
Little Village Elementary School,748,ES,2620 S LAWNDALE AVE,60623,41.843698,-87.717319,47,36,WEAK,0.4,60,95.2,94.9,,,17.2,
Joseph E Gary Elementary School,1111,ES,3740 W 31ST ST,60623,41.837065,-87.718697,55,40,NEUTRAL,1.2,8.4,95.2,95.9,,,17.3,
Crown Community Academy of Fine Arts Center ES,212,ES,2128 S SAINT LOUIS AVE,60623,41.852663,-87.71247,12,6,STRONG,2.5,3.1,93.1,95.1,,,42.4,
Cyrus H McCormick Elementary School,610,ES,2712 S SAWYER AVE,60623,41.842267,-87.7063,24,29,NOT ENOUGH DATA,0.9,14.3,94.9,94.3,,,14.8,
James Weldon Johnson Elementary School,382,ES,1420 S ALBANY AVE,60623,41.861836,-87.703139,22,28,WEAK,2.3,11.8,95.6,95.8,,,33.6,
Daniel J Corkery Elementary School,468,ES,2510 S KILDARE AVE,60623,41.845602,-87.731193,38,35,WEAK,1.5,22.9,94,96.1,,,18.8,
Theodore Herzl Elementary School,560,ES,3711 W DOUGLAS BLVD,60623,41.862081,-87.718994,6,14,NEUTRAL,38.5,17.8,95,96.4,,,26.3,
Emiliano Zapata Elementary Academy,718,ES,2728 S KOSTNER AVE,60623,41.841394,-87.734313,61,78,STRONG,0.7,60,95.9,95.8,,,10.6,
John Spry Elementary Community School,510,ES,2400 S MARSHALL BLVD,60623,41.847747,-87.700184,29,22,WEAK,3.1,30.5,93.5,95.2,,,29.3,
Gerald Delgado Kanoon Elementary Magnet School,544,ES,2233 S KEDZIE AVE,60623,41.850771,-87.705112,37,31,WEAK,2.1,23,94.2,95.5,,,25,
Eli Whitney Elementary School,899,ES,2815 S KOMENSKY AVE,60623,41.84008,-87.725546,55,61,VERY WEAK,1,6.3,94.9,93.7,,,7.9,
Charles Evans Hughes Elementary School,265,ES,4247 W 15TH ST,60623,41.860518,-87.731777,34,39,NEUTRAL,0.7,13.3,94.9,95,,,11,
Telpochcalli Elementary School,275,ES,2832 W 24TH BLVD,60623,41.847947,-87.696006,51,30,WEAK,0.3,20,93.1,95.2,,,17.1,
Charles G Hammond Elementary School,384,ES,2819 W 21ST PL,60623,41.852719,-87.696243,49,26,WEAK,0,0,94.9,93.5,,,19,
Spry Community Links High School,126,HS,2400 S MARSHALL BLVD,60623,41.847762,-87.698946,,,WEAK,6.3,11.3,87.4,96.7,66.1,46.2,52.7,857
David G Farragut Career Academy High School,668,HS,2345 S CHRISTIANA AVE,60623,41.84856,-87.708706,,,WEAK,16.1,34.3,85.8,93.8,68.8,39.8,50.1,880
Francisco I Madero Middle School,321,MS,3202 W 28TH ST,60623,41.840957,-87.705064,51,45,VERY WEAK,3.9,56.5,94,95.8,,,15.6,
Jonathan Burr Elementary School,476,ES,1621 W WABANSIA AVE,60622,41.912358,-87.668661,84,79,VERY STRONG,0.2,6.7,96.5,96.5,,,14.8,
Wells Community Academy High School,365,HS,936 N ASHLAND AVE,60622,41.898995,-87.667483,,,WEAK,0.8,5,88.7,94.2,71.5,43.6,30.9,860
Christopher Columbus Elementary School,264,ES,1003 N LEAVITT ST,60622,41.899566,-87.681938,78,73,VERY STRONG,2,3.4,95.4,95.2,,,7.1,
Jose De Diego Elementary Community Academy,588,ES,1313 N CLAREMONT AVE,60622,41.905294,-87.685756,38,25,WEAK,9.7,48.1,91.5,94.4,,,32.6,
Frederic Chopin Elementary School,391,ES,2450 W RICE ST,60622,41.896713,-87.688937,29,38,VERY WEAK,3.7,7.2,92.4,93.9,,,39.6,
Roberto Clemente Community Academy High School,703,HS,1147 N WESTERN AVE,60622,41.902626,-87.686906,,,VERY WEAK,70.4,18.4,82.7,96.6,64.2,49.4,89.2,850
Mancel Talcott Elementary School,472,ES,1840 W OHIO ST,60622,41.892405,-87.673723,66,54,WEAK,0.8,4.3,95.2,95.5,,,15,
Perkins Bass Elementary School,461,ES,1140 W 66TH ST,60621,41.774246,-87.653532,19,30,STRONG,8.4,16.4,94.3,94.3,,,27,
Benjamin E Mays Elementary Academy,400,ES,6656 S NORMAL BLVD,60621,41.772727,-87.637277,15,15,WEAK,3.2,33.3,91.5,95.8,,,60.2,
Englewood STEM High School,#N/A,HS,6835 S NORMAL,60621,41.770251,-87.639061,,,,,,,,,,,
Lillian R. Nicholson STEM Academy,461,ES,6006 S PEORIA ST,60621,41.784942,-87.647453,3,3,NOT ENOUGH DATA,6.2,30.4,94.1,93.7,,,25.3,
Carrie Jacobs Bond Elementary School,268,ES,7050 S MAY ST,60621,41.765361,-87.653018,10,12,STRONG,9.1,46.7,93.8,93.8,,,44.5,
Hope College Preparatory High School,22,HS,5515 S LOWE AVE,60621,41.793553,-87.641244,,,WEAK,32.3,26.4,83.7,90.8,40.4,44.2,81.2,767
Dr. Martin L. King Jr Academy of Social Justice,229,ES,644 W 71ST ST,60621,41.765335,-87.641335,4,10,WEAK,19.1,26.9,92.1,93.1,,,47.8,
Jesse Sherwood Elementary School,290,ES,245 W 57TH ST,60621,41.7908,-87.632279,67,63,STRONG,0.9,9.4,96.1,96.3,,,27.9,
Amos Alonzo Stagg Elementary School,402,ES,7424 S MORGAN ST,60621,41.758925,-87.649217,27,17,NEUTRAL,5.4,6.6,96,95.2,,,28,
Francis W Parker Elementary Community Academy,504,ES,6800 S STEWART AVE,60621,41.77078,-87.634086,26,32,VERY WEAK,8.5,24.1,93.9,94.8,,,24.4,
Oliver Wendell Holmes Elementary School,137,ES,955 W GARFIELD BLVD,60621,41.793788,-87.649795,21,11,STRONG,10.9,62.9,93.2,95.3,,,53.5,
Foster Park Elementary School,356,ES,8530 S WOOD ST,60620,41.738425,-87.668099,46,34,VERY STRONG,3.2,52.2,94.6,93.9,,,29.2,
William H Ryder Math & Science Specialty ES,403,ES,8716 S WALLACE ST,60620,41.735379,-87.638843,68,60,STRONG,0,0,96.3,93.4,,,20.4,
John W Cook Elementary School,351,ES,8150 S BISHOP ST,60620,41.745237,-87.659775,29,29,WEAK,4.5,38.6,92.4,93,,,51.1,
Clara Barton Elementary School,386,ES,7650 S WOLCOTT AVE,60620,41.754194,-87.670927,20,6,WEAK,8.6,61.3,93.7,94.9,,,37.9,
