Zip,Studio,1BD,2BD,3BD,4BD
60432,$1,200,$1,290,$1,470,$1,870,$2,220
60433,$1,250,$1,340,$1,530,$1,950,$2,310
60434,$1,390,$1,490,$1,700,$2,160,$2,560
60435,$1,280,$1,380,$1,570,$2,000,$2,370
60436,$1,330,$1,430,$1,630,$2,080,$2,460
60438,$1,210,$1,300,$1,480,$1,880,$2,230
60439,$1,340,$1,440,$1,640,$2,090,$2,470
60440,$1,600,$1,720,$1,960,$2,500,$2,950
60441,$1,490,$1,600,$1,820,$2,320,$2,740
60442,$1,260,$1,350,$1,540,$1,960,$2,320
60443,$1,560,$1,680,$1,910,$2,430,$2,880
60445,$1,180,$1,270,$1,450,$1,850,$2,190
60446,$1,870,$2,010,$2,290,$2,920,$3,450
60447,$1,430,$1,580,$2,020,$2,650,$2,780
60448,$1,450,$1,560,$1,770,$2,250,$2,670
60449,$1,050,$1,130,$1,290,$1,640,$1,940
60451,$1,370,$1,480,$1,680,$2,140,$2,530
60452,$1,270,$1,360,$1,550,$1,970,$2,340
60453,$1,290,$1,390,$1,580,$2,010,$2,380
60454,$1,370,$1,480,$1,680,$2,140,$2,530
60455,$1,110,$1,200,$1,360,$1,730,$2,050
60456,$1,360,$1,460,$1,660,$2,120,$2,510
60457,$1,130,$1,220,$1,390,$1,770,$2,090
60458,$1,280,$1,380,$1,570,$2,000,$2,370
60459,$1,310,$1,420,$1,610,$2,050,$2,430
60461,$2,100,$2,260,$2,570,$3,270,$3,870
60462,$1,460,$1,570,$1,790,$2,280,$2,700
60463,$1,760,$1,900,$2,160,$2,750,$3,250
60464,$2,030,$2,190,$2,490,$3,170,$3,750
60465,$1,270,$1,360,$1,550,$1,970,$2,340
60466,$1,460,$1,570,$1,790,$2,280,$2,700
60467,$1,590,$1,710,$1,950,$2,480,$2,940
60468,$1,070,$1,150,$1,310,$1,670,$1,970
60469,$1,260,$1,350,$1,540,$1,960,$2,320
60471,$1,310,$1,410,$1,600,$2,040,$2,410
60472,$1,190,$1,280,$1,460,$1,860,$2,200
60473,$1,800,$1,940,$2,210,$2,810,$3,330
60475,$1,070,$1,150,$1,310,$1,670,$1,970
60476,$1,220,$1,310,$1,490,$1,900,$2,250
60477,$1,390,$1,490,$1,700,$2,160,$2,560
60478,$1,730,$1,860,$2,120,$2,700,$3,190
60480,$1,400,$1,510,$1,720,$2,190,$2,590
60481,$1,040,$1,120,$1,280,$1,630,$1,930
60482,$1,180,$1,270,$1,450,$1,850,$2,190
60484,$1,190,$1,280,$1,460,$1,860,$2,200
60487,$1,360,$1,460,$1,660,$2,110,$2,500
60490,$2,100,$2,260,$2,570,$3,270,$3,870
60491,$1,990,$2,140,$2,440,$3,110,$3,680
60499,$1,370,$1,480,$1,680,$2,140,$2,530
60501,$1,040,$1,120,$1,270,$1,620,$1,910
60502,$1,910,$2,060,$2,340,$2,980,$3,530
60503,$1,840,$2,000,$2,360,$3,090,$3,530
60504,$1,950,$2,100,$2,400,$3,060,$3,610
60505,$1,310,$1,410,$1,600,$2,040,$2,410
60506,$1,360,$1,460,$1,660,$2,110,$2,500
60507,$1,390,$1,490,$1,700,$2,160,$2,560
60510,$1,370,$1,480,$1,680,$2,140,$2,530
60511,$1,330,$1,430,$1,630,$2,080,$2,460
60513,$1,220,$1,320,$1,500,$1,910,$2,260
60514,$1,190,$1,280,$1,460,$1,860,$2,200
60515,$1,620,$1,750,$1,990,$2,530,$3,000
60516,$1,650,$1,780,$2,020,$2,570,$3,040
60517,$1,690,$1,820,$2,070,$2,640,$3,120
60519,$1,910,$2,060,$2,340,$2,980,$3,530
60520,$1,060,$1,190,$1,560,$2,200,$2,650
60521,$2,100,$2,260,$2,570,$3,270,$3,870
60522,$1,580,$1,710,$1,940,$2,470,$2,920
60523,$860,$920,$1,050,$1,340,$1,580
60525,$1,350,$1,450,$1,650,$2,100,$2,490
60526,$1,360,$1,460,$1,660,$2,110,$2,500
60527,$1,770,$1,910,$2,170,$2,760,$3,270
60532,$1,710,$1,840,$2,090,$2,660,$3,150
60534,$1,160,$1,250,$1,420,$1,810,$2,140
60538,$1,350,$1,490,$1,870,$2,550,$2,770
60539,$1,430,$1,540,$1,750,$2,230,$2,640
60540,$1,770,$1,910,$2,170,$2,760,$3,270
60542,$1,510,$1,630,$1,850,$2,360,$2,790
60543,$930,$1,040,$1,370,$1,930,$2,020
60544,$1,920,$2,070,$2,350,$3,000,$3,550
60545,$970,$1,090,$1,430,$2,020,$2,110
60546,$1,280,$1,380,$1,570,$2,000,$2,370
60554,$1,300,$1,400,$1,590,$2,020,$2,400
60555,$1,730,$1,860,$2,120,$2,700,$3,190
60558,$2,100,$2,260,$2,570,$3,270,$3,870
60559,$1,460,$1,570,$1,790,$2,280,$2,700
60561,$1,690,$1,820,$2,070,$2,640,$3,120
60563,$1,970,$2,120,$2,410,$3,070,$3,630
60564,$2,100,$2,260,$2,570,$3,270,$3,870
